"","x"
"1016","TNFSF10"
"1017","SP4"
"1018","DBNDD1"
"1019","TRANK1"
"1020","EPHX4"
"1021","LGALS9C"
"1022","FAM53B"
"1023","SORL1"
"1024","EPHA4"
"1025","ZC3H12A"
"1026","DGKQ"
"1027","CAMK2D"
"1028","LINC00987"
"1029","CXCR6"
"1030","VPS37B"
"1031","LINC00402"
"1032","SLC39A10"
"1033","LRP1"
"1034","SCN3A"
"1035","KCNK12"
"1036","TPM4"
"1037","GCHFR"
"1038","CSF1R"
"1039","ATP1A3"
"1040","SYT11"
"1041","SIGLEC7"
"1042","EVI2B"
"1043","SLC30A4"
"1044","CRY1"
"1045","TPM1"
"1046","NSRP1"
"1047","RPL5"
"1048","DZIP3"
"1049","GOLGA8A"
"1050","SSBP3"
"1051","CWF19L2"
"1052","ATP2B1"
"1053","MGST1"
"1054","DNM3"
"1055","ALDH1A1"
"1056","CCL28"
"1057","LANCL3"
"1058","KCNQ1OT1"
"1059","CRTAM"
"1060","NEO1"
"1061","ACTN4"
"1062","PYROXD2"
"1063","RASA3"
"1064","PLXDC2"
"1065","CASP8"
"1066","ZNF493"
"1067","ASGR1"
"1068","ZNF441"
"1069","GPR171"
"1070","C15orf48"
"1071","SLC38A1"
"1072","SPTAN1"
"1073","GYPC"
"1074","SERPINI1"
"1075","CD70"
"1076","TREM1"
"1077","LINC00426"
"1078","LPP"
"1079","SESN3"
"1080","RGS17"
"1081","SOCS1"
"1082","NCOA7"
"1083","THRA"
"1084","ZNF276"
"1085","DMPK"
"1086","SOX13"
"1087","NRG2"
"1088","ANK3"
"1089","FCGR2B"
"1090","SERPINB1"
"1091","ZNF829"
"1092","ZNF507"
"1093","CALD1"
"1094","AKT3"
"1095","DBN1"
"1096","KIR2DL4"
"1097","DGKA"
"1098","KIF3A"
"1099","SELP"
"1100","IRF4"
"1101","PLCB1"
"1102","LINC00996"
"1103","ARPC5"
"1104","IQGAP2"
"1105","GAS7"
"1106","RAB11FIP5"
"1107","SYK"
"1108","ABCB4"
"1109","PIP4K2A"
"1110","TNFSF4"
"1111","THEMIS"
"1112","LILRB1"
"1113","IFIT3"
"1114","SCAPER"
"1115","APP"
"1116","GLIPR2"
"1117","MGAT4A"
"1118","PCSK1N"
"1119","DENND4C"
"1120","PIM2"
"1121","IRS2"
"1122","LIMA1"
"1123","ZNF567"
"1124","AAK1"
"1125","PXN"
"1126","PGD"
"1127","NCK2"
"1128","CDK5RAP2"
"1129","GRIK4"
"1130","ARHGAP25"
"1131","TTC39B"
"1132","NCKAP1"
"1133","NT5E"
"1134","ZNF808"
"1135","NR4A1"
"1136","S1PR1"
"1137","MYL6"
"1138","DYNC2H1"
"1139","MCM8"
"1140","CCR4"
"1141","ZCWPW1"
"1142","MBP"
"1143","RASGEF1A"
"1144","GNAI2"
"1145","ZNF853"
"1146","AGL"
"1147","IRAK2"
"1148","GNAO1"
"1149","NINJ1"
"1150","PRR7"
"1151","ANKRD9"
"1152","CXCL3"
"1153","CMTM2"
"1154","KCNQ5"
"1155","CSGALNACT1"
"1156","ANKRD12"
"1157","CHIC1"
"1158","GKAP1"
"1159","BDP1"
"1160","PPP1R9A"
"1161","ARPC2"
"1162","P2RY8"
"1163","MGAT5"
"1164","CCDC171"
"1165","PTMS"
"1166","COCH"
"1167","RASSF4"
"1168","TMEM117"
"1169","MEGF9"
"1170","RNASET2"
"1171","TRIP11"
"1172","VNN2"
"1173","ZNF318"
"1174","AGPAT4"
"1175","KIFAP3"
"1176","TIPARP"
"1177","AHI1"
"1178","CHD9"
"1179","SMC4"
"1180","TRIM73"
"1181","KLHDC4"
"1182","GCA"
"1183","ANXA2R"
"1184","ANKRD26"
"1185","AQP9"
"1186","ZNF439"
"1187","SLAMF1"
"1188","VIM-AS1"
"1189","RHEBL1"
"1190","SPRY1"
"1191","TESPA1"
"1192","CTBP2"
"1193","MNAT1"
"1194","RPS29"
"1195","MEX3C"
"1196","DBF4"
"1197","STX7"
"1198","MSN"
"1199","IFRD1"
"1200","CCDC14"
"1201","LPIN1"
"1202","SGCE"
"1203","DCLRE1A"
"1204","SAMD9"
"1205","IER5"
"1206","PIK3R3"
"1207","FANK1"
"1208","FAM3C"
"1209","ATAD2"
"1210","PLA2G12A"
"1211","PCSK7"
"1212","CDC14A"
"1213","ZC3H8"
"1214","HOXB-AS1"
"1215","NAP1L2"
"1216","GIMAP5"
"1217","SLC25A45"
"1218","GPR174"
"1219","GRK5"
"1220","IFNGR2"
"1221","JAZF1"
"1222","SMC6"
"1223","FAXDC2"
"1224","TCL1B"
"1225","SLC40A1"
"1226","AGK"
"1227","DNASE1"
"1228","ITPRIP"
"1229","NAP1L5"
"1230","AKAP9"
"1231","NMT2"
"1232","ITPR1"
"1233","MYLK"
"1234","GNB5"
"1235","IL21R"
"1236","ZNF107"
"1237","STX11"
"1238","ST8SIA1"
"1239","LDLRAP1"
"1240","FGFR1"
"1241","ATP8B2"
"1242","PTPRK"
"1243","IVNS1ABP"
"1244","P2RY10"
"1245","C21orf58"
"1246","TMX4"
"1247","SFI1"
"1248","JAK1"
"1249","EDARADD"
"1250","RASGRP3"
"1251","TANC2"
